Approved symbol	Approved name	Chromosome	NCBI Gene ID
ABHD3	abhydrolase domain containing 3, phospholipase	18q11.2	171586
ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	14q11.2	63874
ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	3p21.33	51099
ABHD6	abhydrolase domain containing 6, acylglycerol lipase	3p14.3	57406
ABHD8	abhydrolase domain containing 8	19p13.11	79575
ABHD10	abhydrolase domain containing 10, depalmitoylase	3q13.2	55347
ABHD11	abhydrolase domain containing 11	7q11.23	83451
ABHD12	abhydrolase domain containing 12, lysophospholipase	20p11.21	26090
ABHD12B	abhydrolase domain containing 12B	14q22.1	145447
ABHD13	abhydrolase domain containing 13	13q33.3	84945
ABHD14A	abhydrolase domain containing 14A	3p21.2	25864
ABHD14A-ACY1	ABHD14A-ACY1 readthrough	3p21.2	100526760
ABHD14B	abhydrolase domain containing 14B	3p21.2	84836
ABHD15	abhydrolase domain containing 15	17q11.2	116236
ABHD15-AS1	ABHD15 antisense RNA 1	17q11.2	
ABHD16A	abhydrolase domain containing 16A, phospholipase	6p21.33	7920
ABHD16B	abhydrolase domain containing 16B	20q13.33	140701
ABHD17A	abhydrolase domain containing 17A, depalmitoylase	19p13.3	81926
ABHD17AP1	ABHD17A pseudogene 1	1q21.2	728917
ABHD17AP3	ABHD17A pseudogene 3	1q41	648359
ABHD17AP4	ABHD17A pseudogene 4	22q11.21	729495
ABHD17AP5	ABHD17A pseudogene 5	22q11.22	91219
ABHD17AP6	ABHD17A pseudogene 6	17p11.2	644988
ABHD17AP7	ABHD17A pseudogene 7	16p11.2	100133212
ABHD17AP8	ABHD17A pseudogene 8	16p11.2	647144
ABHD17AP9	ABHD17A pseudogene 9	16p11.2	100132251
ABHD17B	abhydrolase domain containing 17B, depalmitoylase	9q21.13	51104
ABHD17C	abhydrolase domain containing 17C, depalmitoylase	15q25.1	58489
ABHD18	abhydrolase domain containing 18	4q28.2	80167
ABI1	abl interactor 1	10p12.1	10006
ABI1P1	abl interactor 1 pseudogene 1	14q22.3	326268
ABI2	abl interactor 2	2q33.2	10152
ABI3	ABI family member 3	17q21.32	51225
ABI3BP	ABI family member 3 binding protein	3q12.2	25890
ABITRAM	actin binding transcription modulator	9q31.3	54942
ABITRAMP1	ABITRAM pseudogene 1	13q14.13	390403
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	9q34.12	25
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	1q25.2	27
ABLIM1	actin binding LIM protein 1	10q25.3	3983
ABLIM2	actin binding LIM protein family member 2	4p16.1	84448
ABLIM3	actin binding LIM protein family member 3	5q32	22885
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	9q34.2	28
ABR	ABR activator of RhoGEF and GTPase	17p13.3	29
ABR-AS1	ABR antisense RNA 1	17p13.3	105371479
ABRA	actin binding Rho activating protein	8q23.1	137735
ABRACL	ABRA C-terminal like	6q24.1	58527
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	4q21.23	84142
ABRAXAS1P1	ABRAXAS1 pseudogene 1	3q12.2	100421580
ABRAXAS1P2	ABRAXAS1 pseudogene 2	8p22	100133073
ABRAXAS2	abraxas 2, BRISC complex subunit	10q26.13	23172
ABT1	activator of basal transcription 1	6p22.2	29777
ABT1P1	activator of basal transcription 1 pseudogene 1	4q23	100420695
ABTB1	ankyrin repeat and BTB domain containing 1	3q21.3	80325
ABTB2	ankyrin repeat and BTB domain containing 2	11p13	25841
ABTB3	ankyrin repeat and BTB domain containing 3	12q23.3	121551
ACAA1	acetyl-CoA acyltransferase 1	3p22.2	30
ACAA2	acetyl-CoA acyltransferase 2	18q21.1	10449
ACAA2P1	ACAA2 pseudogene 1	Xp11.23	100420869
ACACA	acetyl-CoA carboxylase alpha	17q12	31
ACACB	acetyl-CoA carboxylase beta	12q24.11	32
ACAD8	acyl-CoA dehydrogenase family member 8	11q25	27034
ACAD9	acyl-CoA dehydrogenase family member 9	3q21.3	28976
ACAD9-DT	ACAD9 divergent transcript	3q21.3	123706524
ACAD10	acyl-CoA dehydrogenase family member 10	12q24.12	80724
ACAD11	acyl-CoA dehydrogenase family member 11	3q22.1	84129
ACADL	acyl-CoA dehydrogenase long chain	2q34	33
ACADM	acyl-CoA dehydrogenase medium chain	1p31.1	34
ACADS	acyl-CoA dehydrogenase short chain	12q24.31	35
ACADSB	acyl-CoA dehydrogenase short/branched chain	10q26.13	36
ACADVL	acyl-CoA dehydrogenase very long chain	17p13.1	37
ACAN	aggrecan	15q26.1	176
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	17p13.1	9744
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	3q29	23527
ACAP2-IT1	ACAP2 intronic transcript 1	3q29	
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	1p36.33	116983
ACAT1	acetyl-CoA acetyltransferase 1	11q22.3	38
ACAT2	acetyl-CoA acetyltransferase 2	6q25.3	39
ACBD3	acyl-CoA binding domain containing 3	1q42.12	64746
ACBD3-AS1	ACBD3 antisense RNA 1	1q42.12	107985353
ACBD4	acyl-CoA binding domain containing 4	17q21.31	79777
ACBD5	acyl-CoA binding domain containing 5	10p12.1	91452
ACBD6	acyl-CoA binding domain containing 6	1q25.2-q25.3	84320
ACBD7	acyl-CoA binding domain containing 7	10p13	414149
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	11p11.2	84680
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	11p11.2	390110
ACD	ACD shelterin complex subunit and telomerase recruitment factor	16q22.1	65057
ACE	angiotensin I converting enzyme	17q23.3	1636
ACE2	angiotensin converting enzyme 2	Xp22.2	59272
ACE2-DT	ACE2 divergent transcript	Xp22.2	104798195
ACE3P	angiotensin I converting enzyme 3, pseudogene	17q23.3	100129123
ACER1	alkaline ceramidase 1	19p13.3	125981
ACER2	alkaline ceramidase 2	9p22.1	340485
ACER2P1	ACER2 pseudogene 1	2q33.3	645978
ACER3	alkaline ceramidase 3	11q13.5	55331
ACHE	acetylcholinesterase (Cartwright blood group)	7q22.1	43
ACIN1	apoptotic chromatin condensation inducer 1	14q11.2	22985
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	1q23.2	2532
ACKR2	atypical chemokine receptor 2	3p22.1	1238
ACKR3	atypical chemokine receptor 3	2q37.3	57007
ACKR4	atypical chemokine receptor 4	3q22.1	51554
ACKR4P1	ACKR4 pseudogene 1	6q24.1	285737
ACLY	ATP citrate lyase	17q21.2	47
ACMSD	aminocarboxymuconate semialdehyde decarboxylase	2q21.3	130013
ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene	9q31.1	347275
ACO1	aconitase 1	9p21.1	48
ACO2	aconitase 2	22q13.2	50
ACOD1	aconitate decarboxylase 1	13q22.3	730249
ACOT1	acyl-CoA thioesterase 1	14q24.3	641371
ACOT2	acyl-CoA thioesterase 2	14q24.3	10965
ACOT4	acyl-CoA thioesterase 4	14q24.3	122970
ACOT6	acyl-CoA thioesterase 6	14q24.3	641372
ACOT7	acyl-CoA thioesterase 7	1p36.31	11332
ACOT8	acyl-CoA thioesterase 8	20q13.12	10005
ACOT9	acyl-CoA thioesterase 9	Xp22.11	23597
ACOT11	acyl-CoA thioesterase 11	1p32.3	26027
ACOT12	acyl-CoA thioesterase 12	5q14.1	134526
ACOT13	acyl-CoA thioesterase 13	6p22.3	55856
ACOX1	acyl-CoA oxidase 1	17q25.1	51
ACOX2	acyl-CoA oxidase 2	3p14.3	8309
ACOX3	acyl-CoA oxidase 3, pristanoyl	4p16.1	8310
ACOXL	acyl-CoA oxidase like	2q13	55289
ACOXL-AS1	ACOXL antisense RNA 1	2q13	400997
ACP1	acid phosphatase 1	2p25.3	52
ACP2	acid phosphatase 2, lysosomal	11p11.2	53
ACP3	acid phosphatase 3	3q22.1	55
ACP4	acid phosphatase 4	19q13.33	93650
ACP5	acid phosphatase 5, tartrate resistant	19p13.2	54
ACP6	acid phosphatase 6, lysophosphatidic	1q21.2	51205
ACP7	acid phosphatase 7, tartrate resistant (putative)	19q13.2	390928
ACR	acrosin	22q13.33	49
ACRBP	acrosin binding protein	12p13.31	84519
ACRP1	ACR pseudogene 1	2q14.1	645529
ACRV1	acrosomal vesicle protein 1	11q24.2	56
ACSBG1	acyl-CoA synthetase bubblegum family member 1	15q25.1	23205
ACSBG2	acyl-CoA synthetase bubblegum family member 2	19p13.3	81616
ACSF2	acyl-CoA synthetase family member 2	17q21.33	80221
ACSF3	acyl-CoA synthetase family member 3	16q24.3	197322
ACSL1	acyl-CoA synthetase long chain family member 1	4q35.1	2180
ACSL3	acyl-CoA synthetase long chain family member 3	2q36.1	2181
ACSL3-AS1	ACSL3 antisense RNA 1	2q36.1	105373904
ACSL3P1	ACSL3 pseudogene 1	3q22.1	100421637
ACSL4	acyl-CoA synthetase long chain family member 4	Xq23	2182
ACSL5	acyl-CoA synthetase long chain family member 5	10q25.2	51703
ACSL6	acyl-CoA synthetase long chain family member 6	5q31.1	23305
ACSL6-AS1	ACSL6 antisense RNA 1	5q31.1	101927693
ACSM1	acyl-CoA synthetase medium chain family member 1	16p12.3	116285
ACSM2A	acyl-CoA synthetase medium chain family member 2A	16p12.3	123876
ACSM2B	acyl-CoA synthetase medium chain family member 2B	16p12.3	348158
ACSM3	acyl-CoA synthetase medium chain family member 3	16p12.3	6296
ACSM4	acyl-CoA synthetase medium chain family member 4	12p13.31	341392
ACSM5	acyl-CoA synthetase medium chain family member 5	16p12.3	54988
ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	16p12.3	100421779
ACSM6	acyl-CoA synthetase medium chain family member 6	10q23.33	142827
ACSS1	acyl-CoA synthetase short chain family member 1	20p11.21	84532
ACSS2	acyl-CoA synthetase short chain family member 2	20q11.22	55902
ACSS3	acyl-CoA synthetase short chain family member 3	12q21.31	79611
ACTA1	actin alpha 1, skeletal muscle	1q42.13	58
ACTA2	actin alpha 2, smooth muscle	10q23.31	59
ACTA2-AS1	ACTA2 antisense RNA 1	10q23.31	100132116
ACTB	actin beta	7p22.1	60
ACTBL2	actin beta like 2	5q11.2	345651
ACTBP1	ACTB pseudogene 1	Xp11.3	643309
ACTBP2	ACTB pseudogene 2	5q14.1	62
ACTBP3	ACTB pseudogene 3	18q21.33	63
ACTBP4	ACTB pseudogene 4	5q31.1	64
ACTBP6	ACTB pseudogene 6	8q21.2	66
ACTBP7	ACTB pseudogene 7	15q15.3	67
ACTBP8	ACTB pseudogene 8	6q15	68
ACTBP9	ACTB pseudogene 9	18q21.33	69
ACTBP10	ACTB pseudogene 10	14q11.2	446207
ACTBP11	ACTB pseudogene 11	1q41	644220
ACTBP12	ACTB pseudogene 12	1p22.1	100462767
ACTBP14	ACTB pseudogene 14	10q22.1	389976
ACTBP15	ACTB pseudogene 15	22q13.2	391334
ACTBP16	ACTB pseudogene 16	3q26.33	100132223
ACTC1	actin alpha cardiac muscle 1	15q14	70
ACTE1P	actin epsilon 1, pseudogene	11q13.4	399923
ACTG1	actin gamma 1	17q25.3	71
ACTG1P1	actin gamma 1 pseudogene 1	3q23	73
ACTG1P2	actin gamma 1 pseudogene 2	Yq11.222	74
ACTG1P3	actin gamma 1 pseudogene 3	20p13	75
ACTG1P4	actin gamma 1 pseudogene 4	1p21.1	648740
ACTG1P6	actin gamma 1 pseudogene 6	1p21	78
ACTG1P7	actin gamma 1 pseudogene 7	1p21	79
ACTG1P8	actin gamma 1 pseudogene 8	1p21	80
ACTG1P9	actin gamma 1 pseudogene 9	6p12.3	82
ACTG1P10	actin gamma 1 pseudogene 10	Xp11.22	83
ACTG1P11	actin gamma 1 pseudogene 11	Yq11.222	414754
ACTG1P12	actin gamma 1 pseudogene 12	3p25.2	100418921
ACTG1P13	actin gamma 1 pseudogene 13	3q12.1	100418920
ACTG1P14	actin gamma 1 pseudogene 14	9p24.1	100418910
ACTG1P15	actin gamma 1 pseudogene 15	15q14	100418951
ACTG1P16	actin gamma 1 pseudogene 16	16q12.1	100418960
ACTG1P17	actin gamma 1 pseudogene 17	15q25.2	283693
ACTG1P18	actin gamma 1 pseudogene 18	6q16.3	100418924
ACTG1P19	actin gamma 1 pseudogene 19	9q31.1	644160
ACTG1P20	actin gamma 1 pseudogene 20	1p36.11	644961
ACTG1P21	actin gamma 1 pseudogene 21	1p31.1	100131291
ACTG1P22	actin gamma 1 pseudogene 22	2p16.1	100131953
ACTG1P23	actin gamma 1 pseudogene 23	3q26.31	442097
ACTG1P24	actin gamma 1 pseudogene 24	17p11.2	441783
ACTG1P25	actin gamma 1 pseudogene 25	1q32.1	148709
ACTG2	actin gamma 2, smooth muscle	2p13.1	72
ACTL6A	actin like 6A	3q26.33	86
ACTL6B	actin like 6B	7q22.1	51412
ACTL7A	actin like 7A	9q31.3	10881
ACTL7B	actin like 7B	9q31.3	10880
ACTL8	actin like 8	1p36.13	81569
ACTL9	actin like 9	19p13.2	284382
ACTL10	actin like 10	20q11.22	170487
ACTL11P	actin like 11, pseudogene	3p21.31	389120
ACTMAP	actin maturation protease	19q13.2	284325
ACTN1	actinin alpha 1	14q24.1	87
ACTN1-DT	ACTN1 divergent transcript	14q24.1	161159
ACTN2	actinin alpha 2	1q43	88
ACTN3	actinin alpha 3	11q13.2	89
ACTN4	actinin alpha 4	19q13.2	81
ACTN4P1	actinin alpha 4 pseudogene 1	4q26	344978
ACTN4P2	actinin alpha 4 pseudogene 2	1p34.3	391026
ACTP1	actin family pseudogene 1	2q12.3	106480335
ACTR1A	actin related protein 1A	10q24.32	10121
ACTR1AP1	ACTR1A pseudogene 1	2q13	100287074
ACTR1B	actin related protein 1B	2q11.2	10120
ACTR2	actin related protein 2	2p14	10097
ACTR3	actin related protein 3	2q14.1	10096
ACTR3-AS1	ACTR3 antisense RNA 1	2q14.1	101060091
ACTR3B	actin related protein 3B	7q36.1-q36.2	57180
ACTR3BP1	ACTR3B pseudogene 1	Yq11.21	643050
ACTR3BP2	ACTR3B pseudogene 2	2p11.1	440888
ACTR3BP3	ACTR3B pseudogene 3	16p11.2	647156
ACTR3BP4	ACTR3B pseudogene 4	4q24	777774
ACTR3BP5	ACTR3B pseudogene 5	10p11.1	399746
ACTR3BP6	ACTR3B pseudogene 6	22q11.1	644773
ACTR3BP7	ACTR3B pseudogene 7	22p11.2	100289004
ACTR3C	actin related protein 3C	7q36.1	653857
ACTR3P1	ACTR3 pseudogene 1	14q11.2	100288580
ACTR3P2	ACTR3 pseudogene 2	Xq13.1	100129013
ACTR3P3	ACTR3 pseudogene 3	3q12.2	100128020
ACTR5	actin related protein 5	20q11.23	79913
ACTR6	actin related protein 6	12q23.1	64431
ACTR6P1	ACTR6 pseudogene 1	4q25	100421495
ACTR8	actin related protein 8	3p21.1	93973
ACTR10	actin related protein 10	14q23.1	55860
ACTRT1	actin related protein T1	Xq25	139741
ACTRT1P1	ACTRT1 pseudogene 1	Xq25	100128268
ACTRT2	actin related protein T2	1p36.32	140625
ACTRT3	actin related protein T3	3q26.2	84517
ACVR1	activin A receptor type 1	2q24.1	90
ACVR1B	activin A receptor type 1B	12q13.13	91
ACVR1C	activin A receptor type 1C	2q24.1	130399
ACVR2A	activin A receptor type 2A	2q22.3-q23.1	92
ACVR2B	activin A receptor type 2B	3p22.2	93
ACVR2B-AS1	ACVR2B antisense RNA 1	3p22.2	100128640
ACVRL1	activin A receptor like type 1	12q13.13	94
ACY1	aminoacylase 1	3p21.2	95
ACY3	aminoacylase 3	11q13.2	91703
ACYP1	acylphosphatase 1	14q24.3	97
ACYP2	acylphosphatase 2	2p16.2	98
ADA	adenosine deaminase	20q13.12	100
ADA2	adenosine deaminase 2	22q11.1	51816
ADAD1	adenosine deaminase domain containing 1	4q27	132612
ADAD1P1	adenosine deaminase domain containing 1 pseudogene 1	3p22.2	100422386
ADAD1P2	adenosine deaminase domain containing 1 pseudogene 2	18q21.1	100422407
ADAD2	adenosine deaminase domain containing 2	16q24.1	161931
ADAL	adenosine deaminase like	15q15.3	161823
ADAM1A	ADAM metallopeptidase domain 1A (pseudogene)	12q24.12-q24.13	8759
ADAM1B	ADAM metallopeptidase domain 1B (pseudogene)	12q24.13	100420505
ADAM2	ADAM metallopeptidase domain 2	8p11.22	2515
ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)	8p11.22	1587
ADAM3B	ADAM metallopeptidase domain 3B (pseudogene)	16q12.1	1596
ADAM5	ADAM metallopeptidase domain 5 (pseudogene)	8p11.22	255926
ADAM6	ADAM metallopeptidase domain 6 (pseudogene)	14q32.33	8755
ADAM7	ADAM metallopeptidase domain 7	8p21.2	8756
ADAM7-AS1	ADAM7, ADAMDEC1 and ADAM28 antisense RNA 1	8p21.2	101929294
ADAM7-AS2	ADAM7 antisense RNA 2	8p21.2	101929315
ADAM8	ADAM metallopeptidase domain 8	10q26.3	101
ADAM9	ADAM metallopeptidase domain 9	8p11.22	8754
ADAM10	ADAM metallopeptidase domain 10	15q21.3	102
ADAM11	ADAM metallopeptidase domain 11	17q21.31	4185
ADAM12	ADAM metallopeptidase domain 12	10q26.2	8038
ADAM15	ADAM metallopeptidase domain 15	1q21.3	8751
ADAM17	ADAM metallopeptidase domain 17	2p25.1	6868
ADAM18	ADAM metallopeptidase domain 18	8p11.22	8749
ADAM19	ADAM metallopeptidase domain 19	5q33.3	8728
ADAM20	ADAM metallopeptidase domain 20	14q24.2	8748
ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1	14q24.2	317760
ADAM20P2	ADAM metallopeptidase domain 20 pseudogene 2	4q34.2	100533671
ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3	4q35.2	644325
ADAM21	ADAM metallopeptidase domain 21	14q24.2	8747
ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1	14q24.2	145241
ADAM22	ADAM metallopeptidase domain 22	7q21.12	53616
ADAM23	ADAM metallopeptidase domain 23	2q33.3	8745
ADAM24P	ADAM metallopeptidase domain 24, pseudogene	8p22	646479
ADAM28	ADAM metallopeptidase domain 28	8p21.2	10863
ADAM29	ADAM metallopeptidase domain 29	4q34.1	11086
ADAM30	ADAM metallopeptidase domain 30	1p12	11085
ADAM32	ADAM metallopeptidase domain 32	8p11.22	203102
ADAM33	ADAM metallopeptidase domain 33	20p13	80332
ADAMDEC1	ADAM like decysin 1	8p21.2	27299
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	21q21.3	9510
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2	5q35.3	9509
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	4q13.3	9508
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4	1q23.3	9507
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	21q21.3	11096
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	5q12.3	11174
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	15q25.1	11173
ADAMTS7P1	ADAMTS7 pseudogene 1	15q25.2	390660
ADAMTS7P3	ADAMTS7 pseudogene 3	15q24.3	400406
ADAMTS7P4	ADAMTS7 pseudogene 4	15q25.3	642935
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	11q24.3	11095
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	3p14.1	56999
ADAMTS9-AS1	ADAMTS9 antisense RNA 1	3p14.1	101929335
ADAMTS9-AS2	ADAMTS9 antisense RNA 2	3p14.1	100507098
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10	19p13.2	81794
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	5p13.3-p13.2	81792
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	9q34.2	11093
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14	10q22.1	140766
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	11q24.3	170689
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16	5p15.32	170690
ADAMTS16-DT	ADAMTS16 divergent transcript	5p15.32	101929176
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17	15q26.3	170691
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	16q23.1	170692
